movie,review
1212111-triangle,"  ""Lol so apparently I""m not taking a trip to Bermuda  ""Decent movie that plays with reality and time. Terrible special effects though."
toy_story_3," They were holding hands!!!  ""This movie was really great"
the-social-network,"  ""amazing, should def watch"
how_to_train_your_dragon,"  ""This Movie Is Pure Nostalgia 10-10  ""What an amazing and clever thing!"
true_grit_2010," Possibly the worst western ever made  ""I gasped watching this.  ""19.12.2020 ---------"
the_kings_speech,"  """"""Golly gosh""  ""This movie never gets old, it""s one of the greats with never a dull moment."
inside_job_2010,"  ""a movie that makes you think  ""It does an incredibly clear job of explaining just how we got into this mess  ""What a comprehensive documentary, easy to understand and interresting."
waste-land,"  ""kinda boring and really weird  ""Great movie. Faith in humanity restored."
last_train_home-2009,"  ""A masterful closer look into the consequences of China booming economy.  ""Very good and very interesting but incredibly depressing  ""Think twice before buying something made in China."
1213205-prophet,"  ""Absolutely brilliant from start to finish.  ""Unexpectedly graphic"
127_hours,"  ""It was pretty boring but it was definitely a great movie.  ""this movie was great and also frightening to go through since it happened  ""Good survival movie."
marwencol,"  ""Fascinating documentary.  ""Interesting documentary.  ""Touching and mesmerizing!"
the_town," The inspiration from Heat is taken by Affleck and the product is just as good as that masterful film  ""Please Ben Affleck go back to directing!  ""Submitted rating not having watched it super recently. Great movie tho"
restrepo," Very interesting look inside what our service-members"" lives actually look like.  ""Tedious and ultimately disappointing documentary for me.  ""Absolutely phenomenal.  My words here will not do justice to the movie itself.  Go see it."
madeo,"  ""The subtle whodunit will have you guessing until the very end.  ""TV, R2.11.13\n全体的に暗い、汚い、品がない（セリフも）描写も注意\nホラー的要素が強い\nラストに対しては誰も責めることができない感じ？警察の捜査もひどいが（あまり言葉が見つからない）"
10012136-winters_bone,"  ""A great story that shows us another part of American culture.  ""It feels real. And it""s well done. IDK. It""s just real good.  ""great land-social portrait of US"
exit_through_the_gift_shop,"  ""Fantastic street art documentary with incredible direction and a bizarre thrilling story.  authenticity, and the lack thereof. Pair this with Orson Welles\"" ""F for Fake"" for a fun double feature exploration of art and authenticity.  ""This was truly one of the most entertaining documentaries I have ever seen. I was dazzled at the world of street art, and all the politics that seem to come with it."
10012141-kids_are_all_right,"  ""Not enough burritos...  ""Absolutely absorbing .  ""Strange but wonderful film"
inception,"  ""Anyone who believes Leo is awake at the end of the film; you should not be reviewing movies.  ""Nolan""s best work to date. Inception is a beautiful work of art composed by only the very best.  ""Nolan is becoming one of my favorite directors of all time. This is a masterpiece."
gasland,"  ""Grossly inaccurate and fear mongering.  ""5* because ot the thematic. Absolutely horryfying  ""Interesting, if worrying film."
ajami,"  ""Slow beginning but it was ok over all."
