movie_name,positive,negative,neutral
10004925-matador,0.1932,0.0893,0.7177
10005788-the_sun,0.126642857,0.090071429,0.783285714
10006485-black_gold,0.12015,0.05225,0.82765
10006630-life_of_reilly,0.1516,0.02445,0.8239
10006849-once_in_a_lifetime,0.20735,0.0597,0.73305
10008234-alexandra,0.1161,0.06085,0.8231
10008507-deep_water,0.1618,0.04625,0.79185
10008699-terrors_advocate,0.10785,0.0862,0.806
10008785-appaloosa,0.189,0.04935,0.76175
10008820-visitor,0.159,0.07545,0.76555
10009066-la_graine_et_le_mulet,0.0795,0.03385,0.88665
10009355-sugar,0.1516,0.0637,0.78475
10009419-mommas_man,0.20965,0.0358,0.75455
10009823-sin_nombre,0.0962,0.09815,0.8057
10009929-a_christmas_tale,0.1841,0.1139,0.7021
10010237-tokyo,0.12055,0.04465,0.8348
10010667-hangover,0.253,0.0968,0.65025
10010675-departures,0.2442,0.10355,0.6522
10011003-crude,0.1516,0.13245,0.71605
10011016-messenger,0.1694,0.07965,0.751
10011284-skin,0.1475,0.09735,0.7552
10011295-samson_and_delilah,0.19475,0.108,0.6973
10011304-thirst,0.19025,0.07875,0.73105
10011949-collapse,0.06725,0.13425,0.79845
10012063-ghost_writer,0.18965,0.08785,0.72245
10012136-winters_bone,0.18545,0.05525,0.75945
10012141-kids_are_all_right,0.26625,0.0668,0.6669
101_reykjavik,0.2265,0.034,0.7395625
1075984-iron_monkey,0.18365,0.08175,0.7345
1095081-boiler_room,0.15065,0.0736,0.77575
1095420-high_fidelity,0.2681,0.0397,0.6922
1097046-dinosaur,0.12995,0.03835,0.83175
1097245-hamlet,0.1175,0.08825,0.79425
1097259-road_trip,0.1548,0.0498,0.7954
1097859-sunshine,0.039705882,0.039,0.921235294
1097991-george_washington,0.17935,0.0631,0.75755
1098038-shaft,0.09895,0.04525,0.8558
1098149-patriot,0.14775,0.10205,0.7501
1099492-saving_grace,0.21775,0.0269,0.75535
10_cloverfield_lane,0.18185,0.0966,0.72135
1100998-contender,0.1886,0.04115,0.77025
1103231-gift,0.1677,0.0425,0.78975
1103281-traffic,0.1502,0.11605,0.73385
1104203-pledge,0.1081,0.0709,0.82105
1104207-panic,0.177947368,0.084526316,0.737526316
1106648-lie,0.1192,0.11225,0.76855
1108624-road_home,0.2403,0.01045,0.74925
1108799-score,0.1487,0.0736,0.7777
1109257-others,0.13045,0.0737,0.79575
1111227-iris,0.1825,0.0576,0.7599
1111741-rain,0.1468,0.09815,0.75505
1112954-rookie,0.19915,0.0176,0.78325
1114154-insomnia,0.15855,0.05635,0.78505
1117377-all_or_nothing,0.21585,0.0505,0.7337
1118347-quiet_american,0.1871,0.0426,0.7703
1118700-adaptation,0.17685,0.0354,0.7877
1120292-spider,0.18425,0.0845,0.73125
1122382-spellbound,0.2473,0.01935,0.73345
1126416-mayor_of_the_sunset_strip,0.20045,0.0967,0.7028
1127787-big_fish,0.1235,0.07345,0.8031
1128577-peter_pan,0.18645,0.06205,0.7514
1132642-mother,0.1609,0.1015,0.7375
1135882-uncovered_the_war_on_iraq,0.1324,0.0838,0.78385
1136293-lightning_in_a_bottle,0.15525,0.0358,0.8089
1144992-crash,0.13475,0.11585,0.74935
1147812-warrior,0.1705,0.0335,0.796
1149496-1149496-red_eye,0.1891,0.1109,0.6999
1151898-capote,0.13675,0.04985,0.8134
1152019-good_night_and_good_luck,0.2739,0.0467,0.6794
1153077-1153077-pride_and_prejudice,0.23555,0.04725,0.71715
1153570-fateless,0.11695,0.08205,0.8009
1153719-syrian_bride,0.20035,0.0537,0.7459
1155622-why_we_fight,0.0944,0.093,0.81255
1158179-devil_and_daniel_johnston,0.15055,0.13,0.71955
1159135-hoax,0.2171,0.1343,0.6486
1159353-darwins_nightmare,0.03595,0.1688,0.79515
1167811-ballets_russes,0.1621,0.03475,0.80315
1174279-wanted,0.12285,0.0768,0.8004
1189844-the_bank_job,0.1392,0.06175,0.79905
1190970-ghost_town,0.1617,0.06645,0.7719
1193230-state_of_play,0.26925,0.03375,0.6971
1194209-elegy,0.20675,0.07685,0.7164
1194818-encounters_at_the_end_of_the_world,0.1132,0.0614,0.8255
1195103-happy_go_lucky,0.19355,0.0584,0.74805
1195800-my_winnipeg,0.12875,0.00615,0.8651
1196003-princess_and_the_frog,0.21745,0.03,0.75265
1196077-cloudy_with_a_chance_of_meatballs,0.2275,0.05055,0.72195
1196293-reprise,0.1931,0.0395,0.76745
1197120-oss_117_cairo_nest_of_spies,0.15745,0.05385,0.78865
1197307-ballast,0.1062,0.06595,0.8277
1197696-fantastic_mr_fox,0.2061,0.0177,0.77615
1200661-informant,0.166,0.083,0.75095
1200743-wrecking_crew,0.2233,0.01525,0.76145
1202867-dear_zachary,0.170285714,0.094571429,0.735214286
1203291-under_the_sea_3d,0.13905,0.0494,0.81145
1203732-me_and_orson_welles,0.12885,0.02135,0.8497
1207748-katyn,0.09645,0.08685,0.81665
1208128-tyson,0.12475,0.0583,0.81695
1208173-splice,0.18075,0.11795,0.7014
1208882-cove,0.13955,0.0585,0.80195
1208_east_of_bucharest,0.25175,0.06765,0.68065
1209767-mary_and_max,0.2134375,0.0638125,0.722875
1209933-puss_in_boots,0.21185,0.0256,0.76255
1212111-triangle,0.136454545,0.090818182,0.772727273
1212910-warrior,0.0973,0.0893,0.81335
1213205-prophet,0.13855,0.0921,0.7693
1213684-big_fan,0.12425,0.0946,0.78095
1213731-worlds_greatest_dad,0.16995,0.087,0.7431
1213732-no_impact_man,0.09805,0.11225,0.7898
1214097-despicable_me,0.24665,0.0608,0.6926
1215792-amreeka,0.19515,0.04105,0.7638
1216014-still_walking,0.1513,0.05945,0.7892
1216067-fifty_dead_men_walking,0.1269,0.1056,0.76755
1217389-we_live_in_public,0.09765,0.12005,0.78235
1217700-kick_ass,0.129,0.0793,0.79175
1218217-single_man,0.2092,0.0825,0.70835
127_hours,0.127,0.0971,0.77595
12_oclock_boys_2013,0.13285,0.07845,0.78865
12_years_a_slave,0.1347,0.0947,0.77055
13_assassins_2011,0.09205,0.14375,0.76415
13_tzameti,0.07645,0.12845,0.79505
13th,0.0993,0.14985,0.7509
1917_2019,0.1286,0.06255,0.8089
1945,0.0676,0.100466667,0.832066667
1985_2018,0.1105,0.117833333,0.771555556
20000_days_on_earth,0.12265,0.05225,0.8251
2046,0.1307,0.1232,0.746
20_feet_from_stardom,0.26335,0.04135,0.6952
20th_century_women,0.1951,0.0381,0.7668
21_grams,0.10675,0.10585,0.78735
21_jump_street_2011,0.2233,0.07245,0.70415
22_jump_street,0.1566,0.04745,0.7959
24_city,0.0706,0.0605,0.8689
24_hour_party_people,0.2497,0.01865,0.73165
25th_hour,0.17405,0.08005,0.7459
28_days_later,0.10295,0.11365,0.78345
2_days_in_paris,0.2439,0.05275,0.7033
310_to_yuma,0.122,0.0879,0.79005
35_shots_of_rum,0.14625,0.02145,0.8323
3_and_12_minutes_10_bullets,0.1286,0.1271,0.7443
3_faces,0.20745,0.0433,0.7492
3_iron,0.2094,0.0694,0.7212
40_year_old_virgin,0.20895,0.05365,0.7375
45_years,0.1244,0.05045,0.82515
49_up,0.1555,0.03815,0.80625
4_months_3_weeks_and_2_days,0.19805,0.086,0.716
500_days_of_summer,0.26005,0.04875,0.69115
5050_2011,0.21845,0.05235,0.7292
56_up,0.10905,0.0498,0.84115
5_broken_cameras_2012,0.0696,0.16845,0.762
63_up,0.1786,0.062,0.7595
71_2015,0.14855,0.1563,0.6951
76_days,0.1496,0.0496,0.8008
878835,0.21805,0.0439,0.73805
8_mile,0.17735,0.0719,0.7509
8_women,0.19685,0.06895,0.7342
99_homes,0.15005,0.09935,0.7506
a_band_called_death_2013,0.2047,0.06265,0.73265
a_beautiful_day_in_the_neighborhood,0.2334,0.0575,0.70915
a_better_life,0.14265,0.0688,0.78865
a_bigger_splash_2016,0.1327,0.042,0.8252
a_fantastic_woman,0.20775,0.0432,0.7491
a_ghost_story,0.1429,0.09885,0.75825
a_girl_walks_home_alone_at_night,0.1772,0.0944,0.72845
a_hijacking,0.1184,0.08525,0.79625
a_man_called_ove,0.2056,0.07795,0.7165
a_monster_calls,0.1432,0.068,0.7888
a_most_violent_year,0.1276,0.14655,0.72575
a_most_wanted_man,0.13525,0.0828,0.782
a_place_at_the_table_2013,0.0915,0.1342,0.7745
a_quiet_passion,0.18085,0.0705,0.7488
a_quiet_place_2018,0.16675,0.11695,0.71625
a_screaming_man,0.144842105,0.101736842,0.753526316
a_secret_love,0.217923077,0.042846154,0.739230769
a_separation_2011,0.13665,0.06215,0.80125
a_serious_man,0.1982,0.1017,0.7001
a_shaun_the_sheep_movie_farmageddon,0.2206,0.03165,0.74775
a_star_is_born_2018,0.15505,0.0565,0.78845
a_tale_of_two_sisters,0.1431,0.18885,0.66805
a_touch_of_sin,0.0476,0.2018,0.75065
a_town_called_panic,0.12565,0.0682,0.80605
a_very_long_engagement_2004,0.2244,0.05035,0.7253
a_white_white_day,0.0975625,0.1296875,0.77275
abacus_small_enough_to_jail,0.0967,0.10005,0.8032
about_a_boy,0.27255,0.034,0.69345
about_adam,0.1988,0.02185,0.77935
about_elly,0.15995,0.04505,0.79505
about_schmidt,0.1588,0.0657,0.77555
ad_astra,0.1357,0.05485,0.80955
adventureland,0.2076,0.05215,0.7403
aferim,0.11435,0.1208,0.7649
afghan_star,0.11065,0.0634,0.826
after_innocence,0.122,0.21105,0.667
after_the_storm_2017,0.18845,0.09305,0.71835
after_the_wedding,0.1801,0.04405,0.7758
after_tiller_2013,0.15285,0.1297,0.71735
afterschool,0.12085,0.08145,0.7976
agronomist,0.1828,0.1172,0.70005
ai_artificial_intelligence,0.12205,0.0969,0.78105
ai_weiwei_never_sorry_2012,0.1785,0.0513,0.77025
aileen_life_and_death_of_a_serial_killer,0.08985,0.1973,0.7131
aimee_and_jaguar,0.2154375,0.0328125,0.75175
air_guitar_nation,0.2354,0.0661,0.69855
ajami,0.1009,0.0879,0.8112
akeelah_and_the_bee,0.1806,0.0238,0.79565
alamar,0.183684211,0.019315789,0.797052632
alias_betty,0.203,0.09345,0.70355
alice_et_martin,0.119736842,0.080842105,0.799421053
alien_the_directors_cut_2007,0.198266667,0.067533333,0.734266667
aliens_of_the_deep,0.20645,0.02615,0.76735
all_in_the_fight_for_democracy,0.201333333,0.049666667,0.749
all_is_lost_2013,0.1053,0.0797,0.81505
all_this_panic,0.17915,0.06335,0.7575
alle_anderen,0.177368421,0.052473684,0.770210526
almost_famous,0.2114,0.0318,0.7568
almost_holy,0.17885,0.1149,0.70635
amandla_a_revolution_in_four_part_harmony,0.18785,0.0481,0.764
amazing_grace_2018,0.2282,0.00635,0.76545
amelie,0.25935,0.0442,0.69645
american_animals,0.1451,0.0816,0.7733
american_factory,0.09815,0.07645,0.8254
american_gangster,0.15165,0.0443,0.80415
american_hustle,0.2179,0.0504,0.73175
american_made_2017,0.1595,0.05765,0.78285
american_psycho,0.19335,0.0648,0.74185
american_splendor,0.2423,0.04405,0.7136
amores_perros,0.15235,0.0819,0.7657
amour_2013,0.2094,0.0821,0.7085
amy_2015,0.16525,0.1311,0.70365
an_education,0.2011,0.0451,0.75375
an_elephant_sitting_still,0.133,0.101166667,0.765777778
an_honest_liar,0.18105,0.0596,0.7594
animal_kingdom,0.21165,0.0287,0.75965
annihilation,0.18085,0.07815,0.7409
anomalisa,0.1113,0.11635,0.77225
another_round,0.18945,0.0773,0.73325
another_year_2010,0.184,0.04525,0.77065
ant_man_and_the_wasp,0.2961,0.04875,0.65505
antman,0.2009,0.0615,0.73755
antwone_fisher,0.15345,0.0704,0.77615
anvil_the_story_of_anvil,0.15645,0.0544,0.78915
anything_for_jackson,0.2116,0.1392,0.6494
anywhere_but_here,0.19235,0.03815,0.76945
apocalypse_now_redux_2001,0.18815,0.02675,0.7851
apollo_11_2019,0.16875,0.0053,0.82595
apples,0.17665,0.0765,0.74675
appropriate_behavior,0.22435,0.0505,0.72515
april_and_the_extraordinary_world_2016,0.2182,0.06635,0.7154
aquarius,0.1823,0.03365,0.78395
arbitrage,0.193,0.0749,0.73215
argo_2012,0.16585,0.01735,0.8168
aristocrats,0.28615,0.06045,0.6534
armadillo_2010,0.12895,0.12445,0.7466
arrival_2016,0.1473,0.04845,0.8045
art_and_craft,0.198705882,0.112117647,0.689176471
art_of_the_steal,0.12705,0.1297,0.7431
arthur_christmas,0.2524,0.0219,0.72565
ash_is_purest_white,0.16505,0.07755,0.7574
ashes_of_time_redux_2008,0.11535,0.0402,0.84455
assassins_2020,0.1344,0.1363,0.7294
atanarjuat_the_fast_runner_2002,0.1783,0.0302,0.79155
athlete_a,0.093052632,0.113789474,0.793105263
atlantics,0.1988,0.0464,0.75475
atonement,0.17145,0.05965,0.7689
attack_the_block,0.14505,0.14275,0.7122
avatar,0.13525,0.02515,0.8397
avengers_endgame,0.13155,0.0335,0.835
avengers_infinity_war,0.1481,0.1127,0.73915
aviator,0.1554,0.0781,0.7665
away_from_her,0.15935,0.0456,0.79505
baadasssss,0.2705,0.0769,0.6526
baader_meinhof_complex,0.10465,0.10635,0.78895
baby_boy,0.1501,0.0156,0.8343
baby_driver,0.20775,0.04485,0.74745
babyteeth,0.2291,0.0739,0.697
backcountry,0.1528,0.114,0.7332
bacurau,0.13615,0.11095,0.75285
bad_education,0.138,0.11135,0.75055
bad_education_2019,0.23575,0.107,0.6573
bad_lieutenant_port_of_call_new_orleans,0.1426,0.13585,0.72155
bad_santa,0.1894,0.1879,0.62275
baghead,0.10885,0.0962,0.795
bamako_2007,0.1223,0.0912,0.78645
bandslam,0.2096,0.02515,0.76535
baran,0.1758,0.05165,0.7725
barbara_2012,0.1343,0.1015,0.7642
barbarian_invasions,0.266,0.0789,0.65505
barbershop,0.2172,0.04435,0.7384
batman_begins,0.1668,0.0656,0.76755
battle_of_the_sexes,0.22875,0.06475,0.70655
battle_royale,0.133846154,0.162076923,0.704
be_natural_the_untold_story_of_alice_guy_blache,0.20145,0.0182,0.78035
beast,0.124,0.0618,0.81435
beasts_of_no_nation,0.09145,0.14685,0.76165
beasts_of_the_southern_wild,0.1898,0.0505,0.75965
beat_that_my_heart_skipped,0.13865,0.0932,0.76815
beats_2020,0.245,0.0471,0.70795
beats_rhymes_and_life_the_travels_of_a_tribe_called_quest,0.18715,0.04425,0.76855
beau_travail,0.1391,0.0263,0.8346
beaufort,0.1068,0.13695,0.7562
beautiful_country,0.19905,0.04065,0.7603
beautiful_mind,0.20895,0.04675,0.7443
before_midnight_2013,0.23745,0.0474,0.71505
before_night_falls,0.1507,0.02685,0.8225
before_sunset,0.3489,0.0502,0.60095
before_the_devil_knows_youre_dead,0.15515,0.14515,0.6998
beginners,0.2446,0.0849,0.67055
behind_the_candelabra,0.1928,0.07575,0.7314
behind_the_sun,0.1178,0.10825,0.7739
being_17,0.1184375,0.094,0.7875625
being_elmo_a_puppeteers_journey,0.2779,0.01095,0.71115
being_julia,0.19805,0.0436,0.75835
bend_it_like_beckham,0.23835,0.03835,0.72325
bernie_2011,0.25,0.05885,0.6912
best_in_show,0.1462,0.0119,0.8419
best_of_enemies_2015,0.2061,0.08015,0.71365
best_of_youth,0.25095,0.04115,0.7079
best_worst_movie,0.225,0.1116,0.66325
better_luck_tomorrow,0.182,0.06045,0.75745
beware_of_mr_baker,0.1584,0.0773,0.76425
beyond_the_gates,0.0998,0.1447,0.75575
