,movie,review
0,chicken_run,"  ""found very entertaining  ""DreamWorks keep making more movies!"
1,the_taste_of_others," A nice comedy that has pokes some friendly barbs at social and class conventions, while being utterly charming.  ""Very overrated, extremely overrated but still a good drama comedy.  Good directing and acting but it drags a bit.  ""Unexciting character study. Their quirks provide some amusing moments but it drags a bit."
2,yi_yi," A city symphony in minor key with a city-sized heart for all its characters. For those who know, a key film of the millenium  ""1001 movies to see before you die.  A powerful family portrait from Taiwan.  ""Story of each member in a family of Taiwan, which can be the story of each and every living being there.   ""Though a bit long, this is a wonderful family movie"
3,memento," Not a masterpiece but really good  ""Mementozzzzzzzzzz..."
4,the_life_and_times_of_hank_greenberg," Dedicated to the millions of Detroit Tigers fans which I""ve been since 1966!  ""An enlightening documentary on an understated hero.  ""A wonderful look at a classy ballplayer whose exploits I hadn""t fully appreciated."
5,you_can_count_on_me,"  ""What a terrible movie   ""Instructor""s   movie not than more"
6,1103281-traffic,"  ""A film that presents the war on drugs with the neutralism it needs.  ""Well made, but since I had trouble rooting for anyone I had trouble enjoying it."
7,best_in_show,"  ""I laughed my head off at this comedy that shows just how much people love to show their dogs.  ""Really good comedy with funny jokes, stellar cast, and a clever premise.  ""Spinal Tap for dog shows. A LOT of fun."
8,croupier,"  ""One of my favorite movies. Hands down, it get""s better everytime I see it!  ""El tiene el poder para que pierdas"
9,not_one_less,"  ""Absolutely loved this movie.  ""(***): [img]http://images.rottentomatoes.com/images/user/icons/icon14.gif[/img]"
10,1095420-high_fidelity,"  ""The incredible music, cast and direction hide the fact that the story actually does drag quite a bit.  ""Rob is awful and has no remedying qualities but everything else is great.  ""A pretty good film with good themes and actors. Probably good to watch if you just broke up with someone. Only problem is that it feels really long. But it""s still good."
11,dark_days,"  ""Best fly on the wall I""ve ever seen. Captivating."
12,filth_and_the_fury," Nevermind the Bollocks Here""s the Sex Pistols  ""this is a really good movie!  ""muy recomendable...."
13,almost_famous,"  ""One of my favorite movies of all time. Does anybody remember laughter?  ""maybe the best coming of age film ever  ""Overrated. I expected this to be life-changing. It is a nice movie.  ""Pas mal mais un peu underwhelming. Surtout la fin."
14,cast_away,"  ""So supporting and funny!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  ""rated it not having seen it immediately before. maybe a 4.5 star but LOVE this movie"
