,movie,topic_number,topic_terms
0,chicken_run,3,"(3, '0.009*""character"" + 0.009*""make"" + 0.008*""great"" + 0.007*""good"" + 0.007*""really""')"
1,the_taste_of_others,8,"(8, '0.012*""good"" + 0.011*""great"" + 0.009*""character"" + 0.009*""make"" + 0.009*""really""')"
2,yi_yi,0,"(0, '0.010*""character"" + 0.007*""love"" + 0.006*""make"" + 0.005*""good"" + 0.005*""life""')"
3,memento,8,"(8, '0.012*""good"" + 0.011*""great"" + 0.009*""character"" + 0.009*""make"" + 0.009*""really""')"
4,the_life_and_times_of_hank_greenberg,12,"(12, '0.008*""make"" + 0.005*""also"" + 0.005*""great"" + 0.005*""scene"" + 0.005*""much""')"
5,you_can_count_on_me,6,"(6, '0.009*""good"" + 0.008*""worth"" + 0.008*""play"" + 0.008*""davis"" + 0.007*""viola""')"
6,1103281-traffic,10,"(10, '0.011*""life"" + 0.007*""make"" + 0.007*""documentary"" + 0.006*""great"" + 0.006*""love""')"
7,best_in_show,8,"(8, '0.012*""good"" + 0.011*""great"" + 0.009*""character"" + 0.009*""make"" + 0.009*""really""')"
8,croupier,3,"(3, '0.009*""character"" + 0.009*""make"" + 0.008*""great"" + 0.007*""good"" + 0.007*""really""')"
9,not_one_less,5,"(5, '0.019*""documentary"" + 0.009*""family"" + 0.008*""love"" + 0.007*""music"" + 0.007*""life""')"
10,1095420-high_fidelity,8,"(8, '0.012*""good"" + 0.011*""great"" + 0.009*""character"" + 0.009*""make"" + 0.009*""really""')"
11,dark_days,0,"(0, '0.010*""character"" + 0.007*""love"" + 0.006*""make"" + 0.005*""good"" + 0.005*""life""')"
12,filth_and_the_fury,0,"(0, '0.010*""character"" + 0.007*""love"" + 0.006*""make"" + 0.005*""good"" + 0.005*""life""')"
13,almost_famous,8,"(8, '0.012*""good"" + 0.011*""great"" + 0.009*""character"" + 0.009*""make"" + 0.009*""really""')"
14,cast_away,8,"(8, '0.012*""good"" + 0.011*""great"" + 0.009*""character"" + 0.009*""make"" + 0.009*""really""')"
15,girlfight,0,"(0, '0.010*""character"" + 0.007*""love"" + 0.006*""make"" + 0.005*""good"" + 0.005*""life""')"
16,1104207-panic,8,"(8, '0.012*""good"" + 0.011*""great"" + 0.009*""character"" + 0.009*""make"" + 0.009*""really""')"
17,widow_of_st_pierre,8,"(8, '0.012*""good"" + 0.011*""great"" + 0.009*""character"" + 0.009*""make"" + 0.009*""really""')"
18,sexy_beast,8,"(8, '0.012*""good"" + 0.011*""great"" + 0.009*""character"" + 0.009*""make"" + 0.009*""really""')"
19,aimee_and_jaguar,8,"(8, '0.012*""good"" + 0.011*""great"" + 0.009*""character"" + 0.009*""make"" + 0.009*""really""')"
20,wattstax,5,"(5, '0.019*""documentary"" + 0.009*""family"" + 0.008*""love"" + 0.007*""music"" + 0.007*""life""')"
21,exorcist_the_version_youve_never_seen,8,"(8, '0.012*""good"" + 0.011*""great"" + 0.009*""character"" + 0.009*""make"" + 0.009*""really""')"
22,emperors_new_groove,3,"(3, '0.009*""character"" + 0.009*""make"" + 0.008*""great"" + 0.007*""good"" + 0.007*""really""')"
