,movie,release date,rating,genre,language,directors,duration,Box Office,Description,Audience Score,Tomatometer,char_words,Year,grouped ratings
0,chicken_run,"Jun 21, 2000",G,"['animation', 'kids and family', 'comedy', 'adventure']",English,['Peter Lord'],1h 25m,,"This engaging stop-motion, claymation adventure tells the story of an American rooster who falls in love with a gorgeous hen on a British farm. The couple decides to run away from the farm, but they must first contend with the evil farmer who is intent on keeping them under her control. The chickens decide to attempt an escape so they don't get turned into chicken pot pies.",65.0,97.0,"['run', 'the', 'this', 'it', 'animation']",2000,G
1,the_taste_of_others,"Feb 26, 2002",R,['comedy'],French (France),['Agnès Jaoui'],1h 52m,$635.3K,"Castella (Jean-Pierre Bacri) is a successful businessman caught behind the fast-changing times. More out of boredom than out of interest, he allows his wife Anglique (Christiane Millet) to drag him to a performance of Racine's ""Bérénice."" Much to his surprise, he is overwhelmed by the power and beauty of the lead actress, Clara (Anne Alvaro). Finally, these two polar opposites are forced together when Castella tries to learn English and his English teacher turns out to be Clara.",82.0,100.0,"['a', 'civilized', 'delight', 'the', 'with']",2000,R
2,yi_yi,"May 8, 2001",,['drama'],Edward Yang,['Edward Yang'],2h 53m,$969.1K,"Set in Taiwan, the film follows the lives of the Jian family from the alternating perspectives of the three main family members: father N.J. (Nien-Jen Wu), teenage daughter Ting-Ting (Kelly Lee) and young son Yang-Yang (Jonathan Chang). N.J., disgruntled with his current job, attempts to court the favor of a prominent video game company while Ting-Ting and Yang-Yang contend with the various trials of youth, all while caring for N.J.'s mother-in-law, who lies in a coma.",91.0,97.0,"['keenly', 'observed', 'masterwork', 'humanistic', 'a']",2000,
3,memento,"Mar 1, 2017",R (Language|Drug Content|Violence),['mystery and thriller'],English,['Christopher Nolan'],1h 56m,$25.5M,"Leonard (Guy Pearce) is tracking down the man who raped and murdered his wife. The difficulty, however, of locating his wife's killer is compounded by the fact that he suffers from a rare, untreatable form of memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",94.0,93.0,"['to', 'a', 'nolan', 'is', 'film']",2000,R
4,the_life_and_times_of_hank_greenberg,"Jul 2, 1999",PG (Mild Language|Thematic Elements),"['biography', 'documentary']",English,['Aviva Kempner'],1h 29m,$1.7M,"""The Life and Times of Hank Greenberg"" is a humorous and nostalgic documentary about an extraordinary baseball player who transcended religious prejudice to become an American icon. Detroit Tiger Hammerin Hank's accomplishments during the Golden Age of Baseball rivaled those of Babe Ruth and Lou Gehrig.",80.0,97.0,"['as', 'the', 'of', 'baseball', 'its']",2000,PG
5,you_can_count_on_me,"Nov 10, 2000",R (Scene of Sexuality|Language|Some Drug Use),['drama'],English,['Kenneth Lonergan'],1h 49m,$9.2M,Sammy is a single mother who is extremely protective of her 8-year old son. She is satisfied with living in the small town she grew up in and working in a local bank. When her brother Terry visits he fits the void in the life of both her and her son. Temporarily free of the constraints of single motherhood she begins to break free of her normal routine. In a string of traumatic events Sammy is torn between helping her brother and her maternal instinct to protect her son from getting hurt.,88.0,95.0,"['beautiful', 'articulate', 'compassionate', 'a', 'the']",2000,R
6,1103281-traffic,"Jan 5, 2001",R (Some Sexuality|Pervasive Drug Content|Strong Language|Violence),"['drama', 'crime']",English,['Steven Soderbergh'],2h 27m,$124.1M,"A contemporary thriller set in the world of drug trafficking. Traffic evokes the high stakes and high risks of the drug trade, as seen through a series of interrelated stories, some of which are highly personal and some of which are filled with intrigue and danger.",85.0,92.0,"['smart', 'risky', 'entertainment', 'and', 'always']",2000,R
7,best_in_show,"Sep 29, 2000",PG-13,"['comedy', 'gay and lesbian']",English,['Christopher Guest'],1h 30m,$18.6M,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",89.0,94.0,"['as', 'and', 'in', 'is', 'but']",2000,PG-13
8,croupier,"Apr 21, 1998",,['mystery and thriller'],Mike Hodges,['Mike Hodges'],1h 31m,$6.2M,"Jack Manfred (Clive Owen) is an aspiring writer who to make ends meet, takes a job as a croupier. Jack remains an observer, knowing that everything in life is a gamble and that gamblers are born to lose. Inevitably, he gets sucked into the world of the casino which takes its toll on his relationships and the novel he is writing.",79.0,96.0,"['superb', 'as', 'it', 'of', 'owen']",2000,
9,not_one_less,"Jan 27, 2015",G,['drama'],Chinese,['Yimou Zhang'],1h 46m,$589.1K,"In a poverty-stricken village, a teacher goes away for a month and leaves a barely literate teenage girl (Minzhi Wei) in his place.",90.0,96.0,"['big', 'small', 'impact', 'movie', 'the']",2000,G
10,1095420-high_fidelity,"Mar 31, 2000",R (Some Sexuality|Language),['romance'],English,['Stephen Frears'],1h 53m,$27.3M,"Rob Gordon (John Cusack) is the owner of a failing record store in Chicago, where he sells music the old-fashioned way -- on vinyl. Although they have an encyclopedic knowledge of pop music and are consumed by the music scene, it's of no help to Rob, whose needle skips the love groove when his long-time girlfriend, Laura (Iben Hjejle), walks out on him. As he examines his failed attempts at romance and happiness, the process finds him being dragged, kicking and screaming, into adulthood.",90.0,91.0,"['i', 'not', 'it', 'film', 'spin']",2000,R
11,dark_days,"Dec 4, 2015",,['documentary'],Marc Singer,['Marc Singer'],1h 34m,$436.8K,"""Dark Days"" is a feature length documentary about a community of homeless people living in a train tunnel beneath Manhattan. The film depicts a way of life which is unimaginable to most of those who walk the streets above. In the pitch blackness of the tunnel rats swarm through piles of garbage and high-speed trains out of Penn station tear through the darkness.",89.0,94.0,"['moving', 'memorable', 'revealing', 'if', 'occasionally']",2000,
12,filth_and_the_fury,"Mar 29, 2000",R (Strong Language|Sexual Content|Drug Use),['documentary'],English,['Julien Temple'],1h 48m,$606.6K,"Assembled from unseen archive footage, rare offcuts and masses of hilarious junk-culture detail from the pre-punk '70s, this inspired collage is as much passionate social history as rockumentary. Intercutting a touching, never-before-seen Sid Vicious interview with contemporary quotes from the surviving Pistols -- wittily filmed, like renegade villains, in silhouette -- Temple exposes the band's human side as never before.",88.0,95.0,"['the', 'older', 'teens', 'especially', 'sex']",2000,R
13,almost_famous,"Sep 15, 2000",R (Drug Content|Brief Nudity|Language),"['drama', 'comedy', 'music']",English,['Cameron Crowe'],2h 2m,$32.5M,"Set in 1973, it chronicles the funny and often poignant coming of age of 15-year-old William, an unabashed music fan who is inspired by the seminal bands of the time. When his love of music lands him an assignment from Rolling Stone magazine to interview the up-and-coming band Stillwater -- fronted by lead guitar Russell Hammond and lead singer Jeff Bebe William embarks on an eye-opening journey with the band's tour, despite the objections of his protective mother.",92.0,89.0,"['the', 'sweet', 'a', 'story', 'and']",2000,R
