Movie,Movie Link,Year
chicken_run,rottentomatoes.com/m/chicken_run,2000
the_taste_of_others,rottentomatoes.com/m/the_taste_of_others,2000
yi_yi,rottentomatoes.com/m/yi_yi,2000
memento,rottentomatoes.com/m/memento,2000
the_life_and_times_of_hank_greenberg,rottentomatoes.com/m/the_life_and_times_of_hank_greenberg,2000
you_can_count_on_me,rottentomatoes.com/m/you_can_count_on_me,2000
1103281-traffic,rottentomatoes.com/m/1103281-traffic,2000
best_in_show,rottentomatoes.com/m/best_in_show,2000
croupier,rottentomatoes.com/m/croupier,2000
not_one_less,rottentomatoes.com/m/not_one_less,2000
1095420-high_fidelity,rottentomatoes.com/m/1095420-high_fidelity,2000
dark_days,rottentomatoes.com/m/dark_days,2000
filth_and_the_fury,rottentomatoes.com/m/filth_and_the_fury,2000
almost_famous,rottentomatoes.com/m/almost_famous,2000
cast_away,rottentomatoes.com/m/cast_away,2000
girlfight,rottentomatoes.com/m/girlfight,2000
1104207-panic,rottentomatoes.com/m/1104207-panic,2000
widow_of_st_pierre,rottentomatoes.com/m/widow_of_st_pierre,2000
sexy_beast,rottentomatoes.com/m/sexy_beast,2000
aimee_and_jaguar,rottentomatoes.com/m/aimee_and_jaguar,2000
wattstax,rottentomatoes.com/m/wattstax,2000
exorcist_the_version_youve_never_seen,rottentomatoes.com/m/exorcist_the_version_youve_never_seen,2000
emperors_new_groove,rottentomatoes.com/m/emperors_new_groove,2000
meet_the_parents,rottentomatoes.com/m/meet_the_parents,2000
erin_brockovich,rottentomatoes.com/m/erin_brockovich,2000
battle_royale,rottentomatoes.com/m/battle_royale,2000
billy_elliot,rottentomatoes.com/m/billy_elliot,2000
state_and_main,rottentomatoes.com/m/state_and_main,2000
nico_and_dani,rottentomatoes.com/m/nico_and_dani,2000
xmen,rottentomatoes.com/m/xmen,2000
nurse_betty,rottentomatoes.com/m/nurse_betty,2000
thirteen_days,rottentomatoes.com/m/thirteen_days,2000
chunhyangdyun_2000,rottentomatoes.com/m/chunhyangdyun_2000,2000
shadow_of_the_vampire,rottentomatoes.com/m/shadow_of_the_vampire,2000
chuck_and_buck,rottentomatoes.com/m/chuck_and_buck,2000
original_kings_of_comedy,rottentomatoes.com/m/original_kings_of_comedy,2000
merci_pour_le_chocolat,rottentomatoes.com/m/merci_pour_le_chocolat,2000
ghost_dog_the_way_of_the_samurai,rottentomatoes.com/m/ghost_dog_the_way_of_the_samurai,2000
love_and_basketball,rottentomatoes.com/m/love_and_basketball,2000
beau_travail,rottentomatoes.com/m/beau_travail,2000
1097991-george_washington,rottentomatoes.com/m/1097991-george_washington,2000
wonder_boys,rottentomatoes.com/m/wonder_boys,2000
house_of_mirth,rottentomatoes.com/m/house_of_mirth,2000
