,movie,summary
0,chicken_run,its plump chickens maintain that strange  haptic quality that makes you yearn to reach out and squeeze them  it coaxes you to laugh and cry  flatters your intelligence  and practically guarantees a cheap night out  at dinner afterward  no one s going to be ordering anything but salad  apart from looking like no other type of animated film  chicken run stands alone in its unwavering determination not to play down to the kiddies  chicken run isn t just chock full of references to classic prison break movies and some witty inside hollywood jokes  but is filled with a secret ingredient sadly missing from its super digitized  merchandise driven counterparts  heart  it is not only an amazing technical accomplishment  it s also the wittiest and best voiced animated movie to come along in years  chicken run boasts the most delicious collection of desperately funny brits since the full monty  poultry has never been so stuffed with personality  exactly the picker upper this macho movie summer needs  it d be churlish to carp about this triumph of craftsmanlike technique  the poultry cast are capable of an extraordinary range of expression  especially during the sad or mildly scary scenes  fans of the more subversive wallace and gromit tales are almost bound to be somewhat disappointed by this safer  more mainstream effort  
1,the_taste_of_others,succeeds with believable characters and situations born of lives well studied  there are some things the french do better than we do  and the small movie is one  a worldly wise  compassionate and charmingly acted gallic comedy  confirms that france may be producing  per capita  more good films than any country on the globe  an exemplary ensemble piece  with a script as warm  witty and insightful as the performances  diff rent strokes isn t an original theme  but in the hands of so capable an ensemble it takes on unexpected poignance  rich with gentle humor and insight  the characters prove to be engaging and their quite real human emotions are enough to carry it  will entertain and provoke  and leave a flavorful memory behind  rich with vivid characters and revelations about the illogical yet human ways in which we crash and intersect  like an eric rohmer film  but with a bit more breeziness and youth to it  jaoui s directing and sympathy are what hold us from the start  one of the delights of the taste of others is that it is so smart and wears its intelligence lightly  for everyone who has ever asked   what on earth do they see in each other   
2,yi_yi,this intimate family portrait peels away layer after layer of unspoken truth and hidden life  full of nice small moments that add up to a deeper whole  
3,memento,i can t remember when a movie has seemed so clever  strangely affecting and slyly funny at the very same time  nolan pulls off this complicated narrative structure with great flair  
4,the_life_and_times_of_hank_greenberg,writer director aviva kempner crafted this love letter to greenberg by imaginatively weaving interviews with great footage from newsreels and feature films  
5,you_can_count_on_me,unusually sharp editing is the first hint that in fact it s a superior  acutely observed comedy drama about family ties and the struggle to find a sense of purpose  even managing to work in some genuinely metaphysical intimations  few films have explored the complicated bonds of love and resentment between brother and sister with such delightful honesty  some of its best moments are so painfully familiar that their overall theatricality is easily forgiven  i never thought i would say this  but i am starting to think that laura linney may  in fact  be a very good actress  this funny and involving film presents its well drawn characters to us pretty much the way we would encounter them in life  thoroughly modest in its means and ambition  you can count on me is one of the best pictures i ve seen all year  a little movie concealing surprisingly big emotions  the characters in you can count on me have been freed from the formulas of fiction and set loose to live lives where they screw up  learn from their mistakes and bumble hopefully into the future  gives us not so much a slice of reality as a big picture window  polished and gleaming  through which we can see things that matter  with warm humor and perceptive writing  director kenneth lonergan displays a gift for creating realistic characters and a compelling story  a subtle and often surprising study of the relationship between damaged adult siblings  full of mordant humor and dramatic invention  a pleasant motion picture  offering a solid evening s worth of entertainment  
6,1103281-traffic,i don t see this slightly better than average drug thriller  with slightly better than average direction by steven soderbergh  as anything more than a routine rubber stamping of genre reflexes  walk straight and steady into steven soderbergh s dizzying drug drama traffic and minutes later you ll feel as woozy as if you had fallen into one of wonderland s smokiest sinkholes  
7,best_in_show,guest seems to know just how far he can stretch reality without losing the crucial texture of verisimilitude  this is a comedy even cat lovers might adore  hilarious and offbeat  but humor is pretty grownup     it s always a pleasure to watch this ensemble of gifted talents do what they do best    be spontaneous and funny and surprising  what we get is a master class demonstration of the distinction between comic actors and comedians who try to act  what a pity that with such funny material  guest and company found it necessary to rely so heavily on sex as a supplementary source of comedy  the jokes in best in show are somewhat one dimensional  but they hit their target  improv comedy rarely makes it onto the big screen  and when it does so as hilariously as it does in best in show     that is certainly cause for celebration  the movie is light as a lap dog  and often just as lovable  fans of offbeat humor will get a big kick out of this follow up to waiting for guffman  but there will be more appreciative   oh  that s funny   comments than outright laughs  you come away wishing that guest could deliver a new mockumentary not every so often but every year  the film s bite is as toothsome as its bark  it creates one comic character for the ages  guffman veteran fred willard as addled  veteran  loose lipped  sex obsessed sports tv commentator buck laughlin  this giggle does for dog shows what     rob reiner s this is spinal tap did for heavy metal  
8,croupier,script and direction play safe throughout  clive owen conveys a sharp  cynical intelligence that rolls off the screen in waves whenever he widens his glittering blue eyes  
9,not_one_less,this thematic  lesson  is served up with non didactic grace complemented by tiny bursts of humour  for chinese viewers  this film will play as a human drama  for western viewers  there s almost equal interest at the edges of the screen  in the background  in the locations and incidental details that show daily life in today s china  it s an excellent movie for kids  because it is about how amazing children can be  zhang has constructed another startling showcase for a woman under siege that stands nicely beside ju dou or shanghai triad  with not one less  zhang yimou has fashioned what feels like an uncannily accurate portrait of a culture where communist ideology has vanished like a brief dream  as traditional community values clash with the burgeoning cult of money  the chinese director zhang yimou has a rare gift for dramatizing highly theatrical stories in highly naturalistic settings  this is the kind of intelligent  probing picture where you get the chance to absorb every detail of the girl s experience  and the director s reserved approach exerts a strong  hypnotic hold  in many ways  not one less resembles the socialist realist dramas of the early communist regimes  but zhang has something smarter and more amusing up his sleeve  
